"Measure ID","Measure Name","Measure Start Quarter","Start Date","Measure End Quarter","End Date"
MORT_30_AMI_HVBP_Baseline,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_AMI_HVBP_Performance,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2020,07/01/2020,2Q2023,06/30/2023
MORT_30_CABG,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_CABG_HVBP_Baseline,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_CABG_HVBP_Performance,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2020,07/01/2020,2Q2023,06/30/2023
MORT_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_COPD_HVBP_Baseline,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_COPD_HVBP_Performance,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2020,07/01/2020,2Q2023,06/30/2023
MORT_30_HF,Heart Failure (HF) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_HF_HVBP_Baseline,Heart Failure (HF) 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_HF_HVBP_Performance,Heart Failure (HF) 30-Day Mortality Rate,3Q2020,07/01/2020,2Q2023,06/30/2023
MORT_30_PN,Pneumonia 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_PN_HVBP_Baseline,Pneumonia 30-Day Mortality Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
MORT_30_PN_HVBP_Performance,Pneumonia 30-Day Mortality Rate,3Q2020,07/01/2020,2Q2023,06/30/2023
MORT_30_STK,Acute Ischemic Stroke (STK) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MSPB_1,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2023,01/01/2023,4Q2023,12/31/2023
MSPB_1_HVBP_Baseline,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2020,01/01/2020,4Q2020,12/31/2020
MSPB_1_HVBP_Performance,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2023,01/01/2023,4Q2023,12/31/2023
OP_10,Abdomen CT - Use of Contrast Material,3Q2023,07/01/2023,2Q2024,06/30/2024
OP_13,Cardiac Imaging for Preoperative Risk Assessment for Non-Cardiac Low-Risk Surgery,3Q2023,07/01/2023,2Q2024,06/30/2024
OP_18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients,4Q2023,10/01/2023,3Q2024,09/30/2024
OP_18c,Median Time from ED Arrival to ED Departure for Discharged ED Patients-Psychiatric/Mental Health Patients,4Q2023,10/01/2023,3Q2024,09/30/2024
OP_22,Left without being seen,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of E,4Q2023,10/01/2023,3Q2024,09/30/2024
OP_29,Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_31,Cataracts - Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_32,Facility 7-Day Risk Standardized Hospital Visit Rate after Outpatient Colonoscopy,1Q2021,01/01/2021,4Q2023,12/31/2023
OP_35_ADM,Admissions for patients receiving outpatient chemotherapy,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_35_ED,Emergency department (ED) visits for patients receiving outpatient chemotherapy,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_36,Hospital visits after hospital outpatient surgery,1Q2023,01/01/2023,4Q2023,12/31/2023
OP_39,Breast Cancer Screening Recall Rates,3Q2023,07/01/2023,2Q2024,06/30/2024
OP_40,ST-Segment Elevation Myocardial Infarction (STEMI),1Q2023,01/01/2023,4Q2023,12/31/2023
OP_8,MRI Lumbar Spine for Low Back Pain,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_26,Clostridium Difficile (C.Diff),4Q2023,10/01/2023,3Q2024,09/30/2024
PCH_27,MRSA Bacteremia,4Q2023,10/01/2023,3Q2024,09/30/2024
PCH_28,Influenza Vaccination Coverage Among Healthcare Personnel (HCP),4Q2023,10/01/2023,1Q2024,03/31/2024
PCH_30,Admissions for Patients Receiving Outpatient Chemotherapy,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_32,Proportion of patients who died from cancer receiving chemotherapy in the last 14 days of life,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_33,Proportion of patients who died from cancer admitted to the ICU in the last 30 days of life,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_34,Proportion of patients who died from cancer not admitted to hospice,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_35,Proportion of patients who died from cancer admitted to hospice for less than 3 days,3Q2023,07/01/2023,2Q2024,06/30/2024
PCH_36,30-Day Unplanned Readmission for Cancer Patients,4Q2022,10/01/2022,3Q2023,09/30/2023
PCH_37,Surgical treatment complications for localized prostate cancer,3Q2022,07/01/2022,2Q2023,06/30/2023
PCH_38,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,3Q2024,07/01/2024,3Q2024,09/30/2024
PCH_4,Central Line-Associated Bloodstream Infection (CLABSI),4Q2023,10/01/2023,3Q2024,09/30/2024
PCH_5,Catheter-Associated Urinary Tract Infections (CAUTI),4Q2023,10/01/2023,3Q2024,09/30/2024
PCH_6,Surgical Site Infection from colon surgery (SSI: Colon),4Q2023,10/01/2023,3Q2024,09/30/2024
PCH_7,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),4Q2023,10/01/2023,3Q2024,09/30/2024
PC_05,Exclusive Breast Milk Feeding,1Q2023,01/01/2023,4Q2023,12/31/2023
PI_F_Status,Meets criteria for promoting interoperability of EHRs,1Q2023,01/01/2023,4Q2023,12/31/2023
PSI_03,Pressure Ulcer Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_04,Death rate among surgical inpatients with serious treatable complications,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_06,Iatrogenic pneumothorax rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_08,In-hospital fall-associated fracture rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_09,Postoperative Hemorrhage or Hematoma Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_11,Postoperative Respiratory Failure Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_13,Postoperative Sepsis Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_14,Postoperative Wound Dehiscence Rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_15,Abdominopelvic accidental puncture or laceration rate,3Q2021,07/01/2021,2Q2023,06/30/2023
PSI_90,Patient Safety and Adverse Events Composite,3Q2021,07/01/2021,2Q2023,06/30/2023
Q18,Overall Rating of Hospital,4Q2023,10/01/2023,3Q2024,09/30/2024
Q19,Willingness to Recommend this Hospital,4Q2023,10/01/2023,3Q2024,09/30/2024
Q8,Cleanliness of Hospital Environment,4Q2023,10/01/2023,3Q2024,09/30/2024
Q9,Quietness of Hospital Environment,4Q2023,10/01/2023,3Q2024,09/30/2024
READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_AMI_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Acute Myocardial Infarction (AMI) Hospitalization,3Q2020,07/01/2020,2Q2023,06/30/2023
READM_30_CABG,30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG),3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_CABG_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2020,07/01/2020,2Q2023,06/30/2023
READM_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_COPD_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Chronic Obstructive Pulmonary Disease (COPD) Hospitalization,3Q2020,07/01/2020,2Q2023,06/30/2023
READM_30_HF,Heart Failure (HF) 30-Day Readmission Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_HF_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Heart Failure (HF) Hospitalization,3Q2020,07/01/2020,2Q2023,06/30/2023
READM_30_HIP_KNEE,30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty,3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_HIP_KNEE_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2020,07/01/2020,2Q2023,06/30/2023
READM_30_IPF,Rate of readmission after discharge from hospital,3Q2021,07/01/2021,2Q2023,06/30/2023
READM_30_PN,Pneumonia 30-Day Readmission Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
READM_30_PN_HRRP,30-Day All-Cause Risk-Standardized Readmission Rate Following Pneumonia Hospitalization,3Q2020,07/01/2020,2Q2023,06/30/2023
SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,1Q2023,01/01/2023,4Q2023,12/31/2023
SEP_1,Severe Sepsis and Septic Shock,4Q2023,10/01/2023,3Q2024,09/30/2024
SEP_SH_3HR,Septic Shock 3-Hour Bundle,4Q2023,10/01/2023,3Q2024,09/30/2024
SEP_SH_6HR,Septic Shock 6-Hour Bundle,4Q2023,10/01/2023,3Q2024,09/30/2024
SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,4Q2023,10/01/2023,3Q2024,09/30/2024
SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,4Q2023,10/01/2023,3Q2024,09/30/2024
SMD,Screening for Metabolic Disorders,1Q2023,01/01/2023,4Q2023,12/31/2023
SM_7,Maternal Morbidity Structural Measure,1Q2023,01/01/2023,4Q2023,12/31/2023
Star Rating,HCAHPS Summary Star Rating,4Q2023,10/01/2023,3Q2024,09/30/2024
STK_02,Discharged on Antithrombotic Therapy,1Q2023,01/01/2023,4Q2023,12/31/2023
STK_03,Anticoagulation Therapy for Atrial Fibrillation/Flutter,1Q2023,01/01/2023,4Q2023,12/31/2023
STK_05,Antithrombotic Therapy by End of Hospital Day 2,1Q2023,01/01/2023,4Q2023,12/31/2023
STK_06,Discharged on Statin Medication,1Q2023,01/01/2023,4Q2023,12/31/2023
SUB_2,Alcohol Use Brief Intervention Provided or Offered,1Q2023,01/01/2023,4Q2023,12/31/2023
SUB_2a,Alcohol Use Brief Intervention,1Q2023,01/01/2023,4Q2023,12/31/2023
SUB_3,Alcohol and other Drug Use Disorder Treatment Provided or Offered at Discharge,1Q2023,01/01/2023,4Q2023,12/31/2023
SUB_3a,Alcohol and other Drug Use Disorder Treatment Provided at Discharge,1Q2023,01/01/2023,4Q2023,12/31/2023
THA/TKA PRO-PM,Hospital-Level Total Hip Arthroplasty/Total Knee Arthroplasty Patient-Reported Outcome-Based Performance Measure,1Q2023,01/01/2023,2Q2023,06/30/2023
TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,1Q2023,01/01/2023,4Q2023,12/31/2023
TOB_3a,Tobacco Use Treatment at Discharge,1Q2023,01/01/2023,4Q2023,12/31/2023
TR1,Transition Record with Specified Elements,1Q2023,01/01/2023,4Q2023,12/31/2023
VTE_1,Venous Thromboembolism Prophylaxis,1Q2023,01/01/2023,4Q2023,12/31/2023
VTE_2,Intensive Care Unit Venous Thromboembolism Prophylaxis,1Q2023,01/01/2023,4Q2023,12/31/2023
